run,final_state
0,0.9314864583884196
1,0.7692376142434268
2,1.003881358668592
3,1.2949012288667305
4,1.3093343991311748
5,0.897983215335398
6,-1.5307975980751933
7,1.266315482259394
8,1.3039688409638668
9,-0.23390421541478074
10,0.6650155820684048
11,0.7626184380116242
12,0.754597303399102
13,1.2419174777338982
14,1.1369702069996779
15,-0.5677423767083636
16,0.2945746569171376
17,0.41532112913131325
18,0.45338520874475585
19,0.7635557707124138
20,1.0889313858961738
21,1.0420736841478921
22,0.5630787686239823
23,0.9925334754303208
24,0.815325961919848
25,1.147083348196745
26,1.2294822676620485
27,0.8491430510062918
28,0.9565345109430068
29,-0.7657405342797028
30,0.6595492092092807
31,1.424136844405914
32,1.061931034104596
33,-0.9398262112644484
34,0.44002811382273654
35,0.6992623574010708
36,0.5569559382925383
37,-0.9777208074791216
38,0.3496773169931906
39,0.4946733120343966
40,1.024990604449151
41,1.0702949540872564
42,0.40338417112761177
43,0.6603508499145171
44,0.1518197134978467
45,1.4702408894033456
46,1.3804310746526676
47,1.2510925653785239
48,0.36513670446434787
49,1.4710663498108354
50,-0.17598384554101432
51,-0.9687189702488761
52,1.1961431137086236
53,1.0706123339780758
54,0.535678870835745
55,1.3956147292439665
56,0.7787697293229192
57,0.8495569861036458
58,-0.45047548111937474
59,0.9239221479375346
60,-0.8560360858399254
61,0.40624785908120076
62,1.0646194811877718
63,0.8579020652811195
64,1.1072430008163554
65,0.7826187521693447
66,1.4517042029607055
67,1.2740566559342645
68,1.046044695121611
69,1.076008026048039
70,1.4205377045010805
71,0.20395557490478436
72,0.7790834349705851
73,1.2485347264729165
74,1.1720479977132758
75,1.0761258665096867
76,1.1811665922817003
77,0.008394257716259837
78,-0.6418644535787916
79,1.2407209558857453
80,1.1738323320795792
81,0.004941278636681905
82,0.5259795988668987
83,1.0331479058127992
84,0.9883034891014014
85,1.195246895894323
86,-1.0219430884980174
87,1.0787635128894335
88,0.3405373511436348
89,1.1526072993009093
90,-0.26521729218482326
91,1.6355685570102836
92,0.8193821596359037
93,0.8176266629121397
94,0.7273646154455484
95,1.1744985189386468
96,1.0981539507693319
97,1.1896894789744108
98,0.8273148275545641
99,1.1975018054780016
100,1.021766849821729
101,0.886062242574682
102,-0.3073896299084065
103,0.9184905920141974
104,0.9226322516343858
105,0.5827851113801961
106,0.8193852738282352
107,0.9111261145060952
108,1.1848665825755509
109,1.0810169979135056
110,1.318353851880602
111,0.8157981194101976
112,1.0484317065776736
113,1.0865213903734776
114,1.304627592263318
115,1.2354120005791354
116,0.7770901123900508
117,1.3698795595653481
118,-0.6186637187294028
119,0.7294823519447228
120,1.1047614967050177
121,0.5309081756019429
122,1.0837014643349545
123,1.0375962404215586
124,1.3159758355371702
125,1.2021873737858262
126,-0.8546611136736727
127,1.438344651390572
128,1.3428736014871163
129,1.0254644268524045
130,1.1978251197617127
131,1.4609858715541908
132,1.3334604622839097
133,0.6053355974532713
134,-0.9441138522944594
135,0.6241908855296598
136,1.05004346198738
137,0.645349827803139
138,0.7413355180368941
139,0.6899121022642973
140,1.0867444293621633
141,0.6491340465522095
142,1.0216799602767968
143,0.7802398514510359
144,0.7959737490992168
145,1.1244139826538246
146,1.0651689876277797
147,0.30921130789688284
148,-0.015845256867186637
149,0.9044210731732382
150,-0.5744444597299938
151,0.6251740591256323
152,1.242720039802568
153,1.427605774375136
154,0.6861870833921105
155,0.2324226285675715
156,0.10639608414066032
157,0.8762308356224299
158,0.9534696969334262
159,0.6241322740815902
160,0.9203825990398005
161,0.9236561984116325
162,0.49190867154146045
163,1.25831188147105
164,0.8276553820338053
165,1.688442473949223
166,1.3771521914145126
167,1.0395984360654587
168,1.0787566573746383
169,0.8396096954057328
170,1.2399728509967274
171,1.1793522400470267
172,1.1772051692310848
173,1.1306518705606297
174,1.3912431414018482
175,0.6001167354079338
176,-0.4884934254106692
177,1.15717372190343
178,0.7986604447764403
179,1.0361726754518767
180,1.0516897295669345
181,-0.26096406161208935
182,0.8448935540622386
183,0.9707736445667385
184,1.2313921813620061
185,1.6373308830529658
186,1.071932606342787
187,1.047831971920825
188,1.043212408975726
189,1.3556007382091237
190,1.1061491058246078
191,-0.41900472283231693
192,1.463825331672859
193,0.3714223055947435
194,-0.9000550786035917
195,0.9516850093731103
196,0.49435605563525337
197,0.6710553666099707
198,0.8985828115556309
199,0.7330505430676744
200,0.0971693267063206
201,0.2008288706582229
202,0.9575014876832466
203,0.6955759828660631
204,0.9256087655969817
205,1.3149131622661259
206,0.7393540683392795
207,0.7965401740375967
208,1.0214583017198904
209,1.4300288730059159
210,1.3411899026714869
211,1.0533481022978477
212,1.274910410911348
213,0.8839264327712233
214,1.087105478323721
215,1.1183320122694493
216,1.2779684697283702
217,0.750863880218756
218,0.7009817656077089
219,0.8338810816263262
220,0.7443131670293688
221,1.288161543304947
222,1.4024964089216916
223,1.3017840639290852
224,0.9731445994815179
225,-0.3911431161438367
226,1.1353398111443198
227,1.2111730359828354
228,0.9076315279369702
229,1.2362987151843035
230,1.1070697090449888
231,1.3205312417974617
232,-0.46543056636543906
233,0.8606753481056648
234,1.335028882183335
235,1.136848542501983
236,-0.479652945792148
237,0.8556149170803254
238,0.8728881466169635
239,0.8569720557935062
240,1.0750503801669509
241,0.3240652197149384
242,1.3158573295069491
243,1.0038488257174347
244,0.9974274992326292
245,1.0175925566269797
246,1.1090349298087876
247,1.0669673668809865
248,1.361891378821332
249,1.2715346542657866
250,1.194735416614055
251,0.7882309463637222
252,1.0428636092098251
253,1.3041650811895067
254,-1.0311455600599153
255,-0.7885067060109622
256,1.1466373022563923
257,0.3031824746536373
258,1.1066522585414158
259,-0.6803252618940602
260,1.3460877017485424
261,1.0781414755565273
262,0.7955790818747362
263,-0.4344913400726665
264,0.6898474453150721
265,0.9992755731256815
266,-1.044215381494988
267,-0.6284281537405273
268,1.0061758662096052
269,0.975727045080662
270,0.7160048786562248
271,1.0955742473123369
272,0.9027197636440355
273,-0.816039241834294
274,1.412362517252416
275,0.6925052882141498
276,1.011648291579675
277,0.7723796425368283
278,1.1528785598793163
279,1.0348552362095902
280,0.8080736587917676
281,-0.7354685155825331
282,-0.3687470255923335
283,1.2527455689575488
284,0.3936534030874574
285,-0.46203047590455837
286,-0.4027311130714915
287,1.338607769854275
288,0.501811103853226
289,0.8237395577034822
290,0.6529346076634779
291,1.1609430086609682
292,-0.1264378758014266
293,1.053095627181097
